service_start,service_end,origin,destination,distance,total_fare,passengers,mode,record_id
2019-03-17 22:46:35,2019-03-17 23:04:07,Times Sq/Theatre District,East Village,3.43,21.96,1,Taxi,130
2019-03-10 00:20:33,2019-03-10 00:27:13,East Village,East Village,0.57,9.8,3,Taxi,131
2019-03-28 18:06:43,2019-03-28 18:11:26,Lincoln Square West,Lincoln Square East,0.9,9.8,1,Taxi,132
2019-03-12 13:01:22,2019-03-12 13:04:25,Kips Bay,Murray Hill,0.6,7.3,1,Taxi,133
2019-03-28 21:09:58,2019-03-28 21:15:31,East Chelsea,Clinton East,1.06,12.74,1,Taxi,134
2019-03-11 10:37:05,2019-03-11 10:50:41,Union Sq,Midtown Center,1.56,14.3,5,Taxi,135
2019-03-06 18:59:05,2019-03-06 19:11:27,Gramercy,Union Sq,0.9,15.3,1,Taxi,136
2019-03-11 11:56:04,2019-03-11 12:06:03,Lincoln Square West,Upper West Side North,1.7,12.3,1,Taxi,137
2019-03-09 19:07:27,2019-03-09 19:10:45,Yorkville East,Yorkville West,0.55,9.36,1,Taxi,138
2019-03-07 19:26:16,2019-03-07 19:44:20,Clinton West,Greenwich Village North,3.0,21.95,4,Taxi,139
2019-03-19 15:08:45,2019-03-19 15:34:24,Yorkville West,Greenwich Village South,6.4,31.56,6,Taxi,140
2019-03-29 08:55:37,2019-03-29 09:13:36,Yorkville East,Kips Bay,4.14,23.16,2,Taxi,141
2019-03-31 08:55:25,2019-03-31 09:00:23,Clinton East,Central Park,1.1,9.3,1,Taxi,142
2019-03-30 20:45:00,2019-03-30 21:06:11,Sutton Place/Turtle Bay North,Lower East Side,2.61,20.47,1,Taxi,143
2019-03-03 12:37:17,2019-03-03 12:43:53,Union Sq,East Village,1.18,9.8,1,Taxi,144
2019-03-23 18:35:01,2019-03-23 18:47:39,UN/Turtle Bay South,East Village,3.2,17.8,1,Taxi,145
2019-03-26 23:30:48,2019-03-26 23:40:09,East Chelsea,Lincoln Square West,2.8,17.15,1,Taxi,146
2019-03-11 11:36:07,2019-03-11 11:57:43,Financial District North,Stuy Town/Peter Cooper Village,5.09,27.88,2,Taxi,147
2019-03-25 15:51:14,2019-03-25 16:01:50,Flatiron,Greenwich Village North,1.16,13.56,1,Taxi,148
2019-03-27 23:10:02,2019-03-27 23:22:11,East Chelsea,Seaport,2.77,18.5,3,Taxi,149
2019-03-28 07:54:06,2019-03-28 08:01:42,Manhattan Valley,East Harlem South,1.72,8.3,1,Taxi,150
2019-03-19 06:22:29,2019-03-19 06:37:12,Lenox Hill East,Manhattan Valley,3.5,16.8,1,Taxi,151
2019-03-29 10:25:21,2019-03-29 11:14:27,Times Sq/Theatre District,Williamsburg (North Side),6.71,44.76,3,Taxi,152
2019-03-28 05:39:40,2019-03-28 05:47:07,Lenox Hill West,Garment District,2.2,14.75,1,Taxi,153
2019-03-13 18:32:01,2019-03-13 18:45:07,Clinton East,Gramercy,2.0,14.3,1,Taxi,154
2019-03-05 17:58:42,2019-03-05 18:19:23,Murray Hill,Upper East Side North,2.7,18.8,2,Taxi,155
2019-03-21 22:49:32,2019-03-21 22:55:11,DUMBO/Vinegar Hill,Brooklyn Heights,1.03,8.76,1,Taxi,156
2019-03-07 19:57:32,2019-03-07 20:10:59,Lenox Hill West,Yorkville East,0.9,15.8,1,Taxi,157
2019-03-02 12:25:56,2019-03-02 12:45:44,LaGuardia Airport,Midtown East,10.18,38.62,5,Taxi,158
2019-03-05 15:39:52,2019-03-05 15:44:51,Clinton East,Midtown North,0.92,8.8,3,Taxi,159
2019-03-13 16:40:50,2019-03-13 16:51:55,Central Park,Upper East Side North,2.0,14.8,1,Taxi,160
2019-03-14 11:36:47,2019-03-14 11:46:26,Central Park,Upper West Side North,1.43,14.16,1,Taxi,161
2019-03-22 07:46:43,2019-03-22 07:49:36,Times Sq/Theatre District,Garment District,0.74,9.75,3,Taxi,162
2019-03-06 17:36:48,2019-03-06 18:43:39,Midtown South,JFK Airport,17.1,78.66,2,Taxi,163
2019-03-08 04:17:26,2019-03-08 04:21:46,Garment District,Garment District,1.2,10.3,1,Taxi,164
2019-03-31 15:21:11,2019-03-31 15:37:28,East Village,West Village,1.8,15.3,2,Taxi,165
2019-03-21 21:31:56,2019-03-21 21:49:14,Meatpacking/West Village West,East Village,2.13,15.8,1,Taxi,166
2019-03-06 12:43:50,2019-03-06 12:59:59,Gramercy,Flatiron,1.4,17.15,1,Taxi,167
2019-03-18 14:30:31,2019-03-18 14:36:40,Upper East Side North,Yorkville West,0.6,8.8,1,Taxi,168
2019-03-28 22:33:16,2019-03-28 22:45:37,Midtown Center,Murray Hill,1.56,13.3,2,Taxi,169
2019-03-13 12:33:55,2019-03-13 12:40:20,Lincoln Square East,Clinton East,0.95,11.62,6,Taxi,170
2019-03-14 04:46:52,2019-03-14 04:49:50,Times Sq/Theatre District,Midtown Center,0.56,9.36,2,Taxi,171
2019-03-13 19:21:03,2019-03-13 19:28:35,Little Italy/NoLiTa,Greenwich Village North,1.0,10.8,1,Taxi,172
2019-03-01 11:25:31,2019-03-01 11:34:24,Upper West Side South,Upper East Side North,1.24,11.3,1,Taxi,173
2019-03-05 22:07:42,2019-03-05 22:18:17,Midtown East,East Village,2.16,16.62,6,Taxi,174
2019-03-04 20:56:26,2019-03-04 21:13:36,Mott Haven/Port Morris,Riverdale/North Riverdale/Fieldston,9.97,29.8,1,Taxi,175
2019-03-04 20:40:56,2019-03-04 20:44:27,Clinton East,Clinton East,1.1,11.16,1,Taxi,176
2019-03-05 17:58:10,2019-03-05 18:00:25,East Village,Gramercy,0.44,8.91,1,Taxi,177
2019-03-29 19:21:12,2019-03-29 19:35:34,Financial District North,Murray Hill,5.19,25.8,1,Taxi,178
2019-03-16 17:27:17,2019-03-16 17:41:03,Manhattan Valley,Washington Heights South,3.5,15.3,0,Taxi,179
2019-03-01 10:25:50,2019-03-01 10:32:29,Upper West Side South,Lincoln Square West,0.84,9.3,1,Taxi,180
2019-03-08 00:51:39,2019-03-08 00:56:54,East Village,Lower East Side,0.93,11.16,5,Taxi,181
2019-03-15 09:20:34,2019-03-15 09:27:03,Midtown East,Murray Hill,0.71,9.3,2,Taxi,182
2019-03-07 00:09:28,2019-03-07 00:38:46,Midtown South,Steinway,6.08,27.8,1,Taxi,183
2019-03-11 20:45:26,2019-03-11 20:50:27,East Village,Gramercy,1.09,11.76,1,Taxi,184
2019-03-26 12:52:27,2019-03-26 13:07:01,Sutton Place/Turtle Bay North,Midtown South,1.9,13.8,1,Taxi,185
2019-03-13 08:34:03,2019-03-13 08:51:10,Penn Station/Madison Sq West,Lincoln Square West,1.8,14.8,1,Taxi,186
2019-03-14 19:38:22,2019-03-14 19:43:09,Midtown East,Yorkville West,1.5,13.5,1,Taxi,187
2019-03-17 00:48:21,2019-03-17 00:59:36,Little Italy/NoLiTa,Stuy Town/Peter Cooper Village,2.17,13.8,2,Taxi,188
2019-03-26 15:06:47,2019-03-26 15:59:52,JFK Airport,Midtown Center,18.41,61.08,1,Taxi,189
2019-03-17 00:50:05,2019-03-17 01:01:47,East Village,East Chelsea,2.0,16.55,4,Taxi,190
2019-03-30 09:39:06,2019-03-30 09:45:23,Hudson Sq,Greenwich Village North,1.2,11.75,1,Taxi,191
2019-03-31 14:28:46,2019-03-31 14:34:24,Sutton Place/Turtle Bay North,Lenox Hill East,1.46,11.76,1,Taxi,192
2019-03-19 09:28:34,2019-03-19 10:01:34,JFK Airport,Astoria,14.1,46.3,1,Taxi,193
2019-03-18 21:28:55,2019-03-18 21:52:22,JFK Airport,Sheepshead Bay,14.3,41.3,1,Taxi,194
2019-03-10 06:32:41,2019-03-10 06:36:23,Garment District,Murray Hill,0.66,7.8,1,Taxi,195
2019-03-20 18:51:16,2019-03-20 19:03:10,Lenox Hill East,East Harlem South,3.13,18.96,1,Taxi,196
2019-03-12 14:39:59,2019-03-12 15:06:34,Times Sq/Theatre District,Williamsburg (North Side),6.5,32.56,1,Taxi,197
2019-03-19 14:05:07,2019-03-19 14:11:25,Penn Station/Madison Sq West,Clinton West,1.3,12.25,1,Taxi,198
2019-03-19 16:13:05,2019-03-19 16:14:39,Greenwich Village North,Greenwich Village North,0.2,7.3,1,Taxi,199
2019-03-16 13:18:43,2019-03-16 13:33:44,West Chelsea/Hudson Yards,Times Sq/Theatre District,1.8,14.3,1,Taxi,200
2019-03-14 07:59:57,2019-03-14 08:09:42,Upper East Side South,Upper East Side North,1.4,14.15,1,Taxi,201
2019-03-31 14:28:05,2019-03-31 14:41:07,Sutton Place/Turtle Bay North,Times Sq/Theatre District,1.1,12.3,1,Taxi,202
2019-03-15 21:25:04,2019-03-15 21:31:55,Upper East Side South,Midtown Center,0.88,9.8,1,Taxi,203
2019-03-02 22:42:20,2019-03-02 22:56:52,Times Sq/Theatre District,Upper West Side South,2.3,19.1,1,Taxi,204
2019-03-25 18:47:22,2019-03-25 18:57:06,Clinton West,Clinton East,1.21,11.8,3,Taxi,205
2019-03-15 14:19:05,2019-03-15 14:20:39,Lenox Hill West,Yorkville West,0.47,6.8,5,Taxi,206
2019-03-06 09:48:13,2019-03-06 09:58:40,Little Italy/NoLiTa,Flatiron,1.6,14.15,1,Taxi,207
2019-03-08 18:04:40,2019-03-08 18:11:10,Manhattan Valley,Lincoln Square East,1.5,15.3,1,Taxi,208
2019-03-07 17:15:41,2019-03-07 17:18:41,Upper West Side South,Upper West Side North,0.4,8.8,1,Taxi,209
2019-03-30 23:38:33,2019-03-30 23:48:10,SoHo,Lower East Side,1.1,12.3,1,Taxi,210
2019-03-13 07:15:24,2019-03-13 07:25:50,Gramercy,Midtown Center,2.27,12.8,1,Taxi,211
2019-03-30 23:53:24,2019-03-30 23:56:29,Greenwich Village South,Greenwich Village North,0.6,8.3,1,Taxi,212
2019-03-25 21:36:30,2019-03-25 21:44:52,Midtown Center,Penn Station/Madison Sq West,0.9,12.96,1,Taxi,213
2019-03-30 11:31:52,2019-03-30 11:35:10,Greenwich Village South,East Village,0.3,10.3,1,Taxi,214
2019-03-22 22:40:19,2019-03-22 22:55:26,Stuyvesant Heights,Crown Heights North,2.75,13.8,1,Taxi,215
2019-03-10 10:32:26,2019-03-10 10:35:20,Morningside Heights,Manhattan Valley,0.6,6.36,1,Taxi,216
2019-03-05 22:00:00,2019-03-05 22:17:27,Sutton Place/Turtle Bay North,TriBeCa/Civic Center,3.6,21.95,2,Taxi,217
2019-03-15 22:59:38,2019-03-15 23:04:56,Upper West Side South,Upper West Side North,1.16,9.8,6,Taxi,218
2019-03-20 11:15:24,2019-03-20 11:59:38,Lenox Hill East,Midwood,15.01,53.06,1,Taxi,219
2019-03-08 18:08:03,2019-03-08 18:15:42,Kips Bay,Alphabet City,1.4,13.55,1,Taxi,220
2019-03-20 22:27:45,2019-03-20 22:49:14,Lower East Side,Times Sq/Theatre District,3.69,19.8,2,Taxi,221
2019-03-14 12:43:06,2019-03-14 13:06:58,LaGuardia Airport,Lenox Hill East,8.81,43.87,1,Taxi,222
2019-03-22 21:39:15,2019-03-22 21:45:25,Upper East Side South,Sutton Place/Turtle Bay North,0.84,11.8,1,Taxi,223
2019-03-13 21:57:25,2019-03-13 22:15:34,LaGuardia Airport,Lenox Hill East,9.61,42.62,1,Taxi,224
2019-03-19 23:41:10,2019-03-19 23:43:55,Upper East Side South,Lenox Hill East,0.4,7.8,1,Taxi,225
2019-03-22 15:36:34,2019-03-22 16:34:48,Manhattan Valley,Boerum Hill,12.07,69.07,2,Taxi,226
2019-03-01 20:28:26,2019-03-01 20:36:21,Garment District,Midtown East,1.31,11.3,1,Taxi,227
2019-03-14 14:28:42,2019-03-14 14:56:54,Midtown Center,Lenox Hill East,3.79,29.31,1,Taxi,228
2019-03-03 21:02:46,2019-03-03 21:22:46,LaGuardia Airport,Upper East Side South,9.9,45.07,1,Taxi,229
2019-03-19 23:32:01,2019-03-19 23:40:05,Times Sq/Theatre District,Union Sq,1.86,14.16,1,Taxi,230
2019-03-17 02:22:11,2019-03-17 02:31:02,East Village,East Village,0.66,12.74,2,Taxi,231
2019-03-04 15:30:13,2019-03-04 15:41:03,Midtown Center,Midtown Center,0.62,12.96,1,Taxi,232
2019-03-14 11:45:08,2019-03-14 11:48:55,Yorkville West,Yorkville West,0.7,7.8,1,Taxi,233
2019-03-07 23:46:25,2019-03-07 23:51:55,Penn Station/Madison Sq West,Midtown Center,1.09,11.76,1,Taxi,234
2019-03-06 21:56:51,2019-03-06 22:03:35,Gramercy,West Village,1.1,11.84,1,Taxi,235
